epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6031,1.89859,2.53902,2.05768,0.04628,0.28571,0.0292,0.00851,2.77167,24.4113,3.30836,0.00044,0.00044,0.00044
2,37.7273,1.71415,2.11267,1.88838,0.04557,0.18367,0.02302,0.00543,3.51462,21.1947,5.6217,0.00088812,0.00088812,0.00088812
3,51.0039,1.80805,2.19335,1.98487,0.01237,0.14286,0.0067,0.00248,3.11775,inf,9.77409,0.0013241,0.0013241,0.0013241
4,64.6907,1.74244,2.0529,1.90707,0.04931,0.32653,0.0312,0.00837,3.16913,91.0928,6.81697,0.00174793,0.00174793,0.00174793
5,78.3741,1.74229,2.06859,1.94306,0.01296,0.38776,0.01007,0.00349,2.86607,91.656,3.84482,0.0018944,0.0018944,0.0018944
6,91.7779,1.74899,2.16715,1.9399,0.00717,0.43878,0.00518,0.00153,3.08538,inf,10.2782,0.001868,0.001868,0.001868
7,105.166,1.66541,2.07468,1.88671,0.0055,0.33673,0.00369,0.00114,3.31252,inf,4.26703,0.0018416,0.0018416,0.0018416
8,119.225,1.71919,2.00669,1.89983,0.19845,0.17347,0.10918,0.02573,2.77744,5.75076,3.14692,0.0018152,0.0018152,0.0018152
9,133.261,1.63286,1.92565,1.83098,0.20938,0.22449,0.10293,0.02669,2.60488,7.37334,2.80286,0.0017888,0.0017888,0.0017888
10,147.506,1.62277,1.9178,1.83302,0.39371,0.2916,0.24919,0.06795,2.66015,3.28005,2.81904,0.0017624,0.0017624,0.0017624
11,161.127,1.56917,1.86271,1.81106,0.34749,0.39796,0.27338,0.07588,2.45192,2.50297,2.75235,0.001736,0.001736,0.001736
12,175.241,1.60412,1.87682,1.84067,0.31302,0.39522,0.28096,0.07892,2.39488,2.34631,2.70764,0.0017096,0.0017096,0.0017096
13,189.705,1.57856,1.83917,1.81332,0.34643,0.38776,0.22829,0.0664,2.42448,2.78597,2.65321,0.0016832,0.0016832,0.0016832
14,203.466,1.54696,1.81049,1.78446,0.40511,0.41837,0.28421,0.08835,2.30177,2.61526,2.4789,0.0016568,0.0016568,0.0016568
15,217.573,1.53942,1.76649,1.78929,0.41688,0.43878,0.34469,0.0994,2.27759,2.23676,2.51254,0.0016304,0.0016304,0.0016304
16,236.658,1.53299,1.7871,1.78321,0.42612,0.41837,0.35371,0.11604,2.20178,2.26301,2.40837,0.001604,0.001604,0.001604
17,250.669,1.54361,1.7788,1.80244,0.38157,0.39666,0.28012,0.08642,2.38997,2.26373,2.53977,0.0015776,0.0015776,0.0015776
18,264.209,1.47892,1.74326,1.75236,0.48747,0.33673,0.34647,0.12311,2.16014,2.13051,2.3862,0.0015512,0.0015512,0.0015512
19,278.536,1.47802,1.73468,1.7579,0.42463,0.45918,0.36934,0.14242,2.10017,2.22026,2.29023,0.0015248,0.0015248,0.0015248
20,292.734,1.48661,1.66301,1.74073,0.35191,0.34694,0.29421,0.09724,2.28099,2.29524,2.49656,0.0014984,0.0014984,0.0014984
21,306.743,1.46657,1.6619,1.7406,0.43164,0.48822,0.42454,0.1546,2.0838,2.26321,2.26175,0.001472,0.001472,0.001472
22,320.343,1.46958,1.6581,1.72894,0.55649,0.5,0.45078,0.1359,2.27382,1.98292,2.42898,0.0014456,0.0014456,0.0014456
23,333.848,1.44432,1.64885,1.71037,0.42891,0.38776,0.3195,0.11262,2.21541,2.33047,2.41372,0.0014192,0.0014192,0.0014192
24,347.762,1.45546,1.68105,1.72651,0.48579,0.5013,0.44809,0.18032,2.05427,1.96729,2.23213,0.0013928,0.0013928,0.0013928
25,361.595,1.41958,1.57354,1.70605,0.45737,0.54082,0.4252,0.13304,2.16364,2.16041,2.37947,0.0013664,0.0013664,0.0013664
26,375.003,1.42822,1.54464,1.70411,0.52325,0.44799,0.44847,0.17472,2.05796,2.04438,2.2477,0.00134,0.00134,0.00134
27,388.489,1.33403,1.47222,1.625,0.56104,0.44898,0.47633,0.19006,2.1159,1.91532,2.30265,0.0013136,0.0013136,0.0013136
28,402.957,1.35248,1.45864,1.63217,0.6202,0.29998,0.35937,0.11138,2.32586,2.39703,2.52379,0.0012872,0.0012872,0.0012872
29,416.435,1.36131,1.44471,1.63703,0.52,0.43878,0.38157,0.13345,2.20104,2.16633,2.46542,0.0012608,0.0012608,0.0012608
30,430.358,1.35192,1.44905,1.63366,0.39423,0.41837,0.35031,0.12275,2.47346,2.0885,2.57297,0.0012344,0.0012344,0.0012344
31,443.758,1.38781,1.47984,1.65798,0.59648,0.46939,0.517,0.19658,2.15814,1.83826,2.31302,0.001208,0.001208,0.001208
32,457.737,1.33971,1.39902,1.61125,0.53796,0.43961,0.44065,0.15343,2.2268,1.93941,2.38828,0.0011816,0.0011816,0.0011816
33,471.447,1.30353,1.3936,1.59672,0.51363,0.57114,0.50319,0.18036,2.13665,1.72937,2.30691,0.0011552,0.0011552,0.0011552
34,485.083,1.36069,1.39827,1.63461,0.71938,0.46939,0.56932,0.21972,2.05119,1.79205,2.22857,0.0011288,0.0011288,0.0011288
35,498.742,1.36362,1.38201,1.64052,0.54786,0.41837,0.42423,0.15654,2.18426,1.92309,2.32261,0.0011024,0.0011024,0.0011024
36,512.268,1.32572,1.4004,1.62366,0.50786,0.53705,0.51222,0.20849,2.02623,1.77692,2.17565,0.001076,0.001076,0.001076
37,526.184,1.29796,1.35245,1.5935,0.63157,0.54082,0.56724,0.23651,2.06143,1.71191,2.19272,0.0010496,0.0010496,0.0010496
38,540.108,1.26427,1.28534,1.56516,0.57902,0.53334,0.5529,0.23657,2.00042,1.63173,2.19091,0.0010232,0.0010232,0.0010232
39,553.602,1.3015,1.29258,1.59212,0.61671,0.5,0.53329,0.22313,2.04093,1.69025,2.21331,0.0009968,0.0009968,0.0009968
